saleprice,age,neighborhood_order,local_conditions,was_remodeled,overall_qual,house_style_order_1.5,house_style_order_2.0,exter_qual,exterior_1n2,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,bldg_type_2fmcon,roof_style_hip,residential,functional,lot_frontage,lot_area,outside_porch_sf,garage_fin_area,garage_cars,paved_drive,bsmt_qual,bsmtfin_type_sf,bsmt_exposure,heating_qc,kitchen_qual,fireplace_qu,all_floors_sf,totrms_abvgrd,room_size,all_baths,gr_liv_area
130500,34,1,1,1,6,0,1,4,7,0,0,0,0,0,1,8,41.5,13517,44,950.0,2.0,2,3,3198.0,1,5,4,0,1479,6,246.5,2.5,1479
220000,13,3,2,1,7,0,1,4,10,0,0,0,0,0,1,8,43.0,11492,74,1118.0,2.0,2,4,3822.0,1,5,4,3,2122,8,265.25,3.5,2122
109000,57,2,2,1,5,0,0,3,10,0,0,0,0,0,1,8,68.0,7922,52,246.0,1.0,2,3,4386.0,1,3,4,0,1057,5,211.4,2.0,1057
174000,4,4,2,1,5,0,1,3,10,0,0,0,0,0,1,8,73.0,9802,100,1200.0,2.0,2,4,0.0,1,4,3,0,1444,7,206.28571428571428,2.5,1444
138500,110,3,2,1,6,1,0,3,7,0,0,0,0,0,1,8,82.0,14235,59,484.0,2.0,0,2,0.0,1,3,3,0,1445,6,240.83333333333334,2.0,1445
190000,44,2,3,1,6,0,0,4,9,0,0,0,0,0,1,5,137.0,16492,0,1734.0,2.0,2,3,3374.0,1,5,4,4,1888,6,314.6666666666667,2.5,1888
140000,1,1,2,1,6,1,0,3,10,0,0,1,0,0,1,8,35.0,3675,44,1575.0,2.0,2,4,3282.0,4,4,3,0,1072,5,214.4,3.0,1072
142000,51,2,2,0,5,0,0,3,8,0,0,0,0,1,1,8,72.0,12160,0,1062.0,2.0,2,3,3000.0,1,2,3,0,1188,6,198.0,2.0,1188
112500,55,2,1,0,5,0,0,3,6,0,0,0,0,0,1,8,60.0,15783,324,420.0,1.0,2,3,876.0,1,3,3,0,924,6,154.0,1.0,924
135000,38,2,2,0,5,0,1,3,8,0,0,0,0,0,1,8,70.0,11606,335,504.0,2.0,2,4,1950.0,3,3,2,3,2080,9,231.11111111111111,2.5,2080
85400,37,1,2,0,6,0,1,3,6,0,1,0,0,0,1,8,21.0,1680,0,264.0,1.0,2,3,1935.0,1,3,3,0,987,4,246.75,1.5,987
183600,1,3,2,0,7,0,0,4,10,0,0,0,0,0,1,8,64.0,7488,163,1264.0,2.0,2,4,2358.0,3,5,4,0,1208,6,201.33333333333334,2.0,1208
131000,129,3,1,1,5,0,1,4,6,0,0,0,0,0,1,5,120.0,26400,0,576.0,2.0,1,0,0.0,0,5,3,3,2016,7,288.0,1.0,2016
200000,9,4,2,1,8,0,1,4,6,0,1,0,0,0,1,8,24.0,2645,169,480.0,2.0,2,4,4878.0,1,5,4,0,1607,7,229.57142857142858,3.5,1607
193000,1,3,2,0,7,0,0,4,10,0,0,0,0,0,1,8,74.0,9627,50,1220.0,2.0,2,4,144.0,3,5,4,0,1361,6,226.83333333333334,2.0,1361
173500,6,2,2,1,5,0,0,3,10,0,0,0,0,0,1,8,93.0,10114,0,1248.0,2.0,2,5,0.0,3,5,4,0,1430,7,204.28571428571428,2.0,1430
98000,92,2,2,1,5,0,1,3,2,0,0,0,0,0,1,8,34.0,4571,96,513.0,3.0,2,3,0.0,1,2,3,0,1344,7,192.0,1.0,1344
139000,46,1,1,0,5,0,0,3,10,0,0,0,0,0,1,8,80.0,8816,80,480.0,2.0,2,3,1953.0,1,3,3,0,1121,5,224.2,2.0,1121
143500,30,1,2,0,6,0,0,3,8,0,0,0,0,0,1,8,71.0,8197,138,1056.0,2.0,2,3,0.0,1,5,3,3,1285,7,183.57142857142858,1.5,1285
215200,1,4,2,0,7,0,1,3,10,0,0,0,0,0,1,8,72.0,8640,214,614.0,2.0,2,4,144.0,2,5,4,0,1547,7,221.0,2.5,1547
129000,39,1,2,0,5,0,0,3,10,0,0,0,0,0,1,8,109.0,8724,0,1350.0,2.0,2,4,1968.0,1,4,3,1,894,5,178.8,1.0,894
278000,9,4,2,0,8,0,0,4,10,0,0,1,0,0,1,8,40.0,5664,271,1497.0,2.0,2,4,6948.0,1,5,5,5,1659,5,331.8,3.0,1659
344133,1,4,2,1,8,0,1,4,10,0,0,0,0,0,1,8,103.0,12867,385,1725.0,2.0,2,5,0.0,3,5,5,4,2253,8,281.625,2.5,2253
185000,18,2,2,1,6,0,0,3,6,0,0,0,0,0,1,8,63.0,7980,504,1260.0,2.0,2,4,4675.0,1,5,3,0,1187,6,197.83333333333334,3.0,1187
145000,51,2,2,0,5,0,0,3,6,0,0,0,1,1,1,8,100.0,34650,264,1716.0,2.0,2,3,3168.0,2,3,3,0,1056,5,211.2,2.0,1056
187500,48,2,2,0,6,0,0,3,6,0,0,0,0,1,1,8,92.0,10573,337,1060.0,2.0,2,3,3936.0,1,5,3,3,1453,6,242.16666666666666,3.0,1453
138500,45,1,1,1,5,0,0,3,6,0,0,0,0,0,1,8,65.0,8450,560,336.0,1.0,2,3,3786.0,1,5,3,4,894,5,178.8,2.0,894
198000,71,3,2,1,5,1,0,3,6,0,0,0,0,0,1,6,65.0,11700,40,240.0,1.0,2,3,2424.0,1,5,4,4,1938,7,276.85714285714283,2.0,1938
119600,112,1,1,1,5,0,1,3,10,0,0,0,1,0,0,8,75.0,8250,133,0.0,0.0,0,3,0.0,1,2,3,0,1991,9,221.22222222222223,2.0,1991
122900,58,2,1,1,5,1,0,3,6,0,0,0,0,0,1,8,60.0,8064,0,576.0,2.0,2,3,0.0,2,5,3,1,924,6,154.0,1.0,924
278000,28,3,3,0,8,0,0,4,10,0,0,0,0,1,1,8,80.0,9600,594,1626.0,2.0,2,4,5520.0,1,3,4,4,2524,9,280.44444444444446,3.5,2524
230000,77,3,2,1,8,0,1,3,7,0,0,0,0,0,1,8,56.5,11435,0,400.0,2.0,2,4,0.0,1,2,4,4,1517,7,216.71428571428572,1.0,1517
270000,11,4,2,1,8,0,0,4,10,0,0,1,0,1,1,8,30.0,9549,246,1443.0,2.0,2,4,7216.0,3,5,5,4,1494,6,249.0,2.5,1494
125000,55,2,2,0,6,0,0,3,6,0,0,0,0,1,1,8,60.0,10950,48,410.0,2.0,0,3,2205.0,1,3,3,0,948,5,189.6,1.0,948
297000,2,3,2,1,8,0,0,4,10,0,0,0,0,1,1,8,79.0,10637,252,1652.0,3.0,2,5,7728.0,4,5,4,4,1718,7,245.42857142857142,3.0,1718
113500,51,2,2,0,6,0,0,3,6,0,0,0,0,0,1,8,80.0,9000,92,768.0,1.0,2,4,0.0,4,2,3,4,1142,5,228.4,1.0,1142
127000,29,1,2,0,5,0,1,3,10,0,0,1,0,0,1,8,41.0,2665,130,672.0,1.0,2,3,3259.0,1,5,3,3,1475,6,245.83333333333334,2.0,1475
190000,33,3,2,0,6,0,0,3,8,0,0,0,0,1,1,8,105.0,11751,122,1092.0,2.0,2,4,2820.0,1,5,3,3,1844,7,263.42857142857144,2.0,1844
175500,34,3,2,0,7,0,0,3,6,0,0,0,0,1,1,8,80.0,9600,0,528.0,2.0,2,3,4580.0,1,2,3,3,1242,6,207.0,1.5,1242
146000,13,3,2,0,5,0,0,3,10,0,0,0,0,0,1,8,60.0,8428,256,384.0,1.0,2,4,2520.0,1,5,3,0,990,5,198.0,2.0,990
147500,43,1,2,0,5,0,0,4,6,0,0,0,0,0,1,8,75.0,9937,804,828.0,1.0,2,3,3900.0,1,4,3,0,1256,6,209.33333333333334,2.5,1256
165500,31,2,2,0,5,1,0,3,8,0,0,0,0,0,1,8,78.0,9101,333,1806.0,2.0,2,4,6582.0,3,5,4,3,1110,4,277.5,2.0,1110
131500,54,2,2,0,5,1,0,3,6,0,0,0,0,0,1,8,81.0,12150,0,352.0,1.0,2,3,0.0,1,5,3,0,1795,7,256.42857142857144,2.0,1795
129500,43,1,2,0,5,0,0,3,6,0,0,0,0,1,1,8,70.0,11200,0,384.0,1.0,2,3,2718.0,1,5,3,0,1040,5,208.0,2.0,1040
257076,73,3,2,1,8,0,1,3,7,0,0,0,0,0,1,8,100.0,9670,207,2358.0,2.0,2,3,420.0,1,3,3,4,1873,9,208.11111111111111,1.5,1873
117000,68,1,2,1,5,1,0,3,6,0,0,0,0,0,1,6,60.0,10998,68,660.0,2.0,2,3,2496.0,1,5,3,0,1604,6,267.3333333333333,2.0,1604
149000,77,3,2,1,7,0,1,3,5,0,0,0,0,0,1,8,60.0,7200,112,540.0,1.0,1,4,0.0,1,3,3,4,1502,6,250.33333333333334,1.5,1502
128000,56,2,2,0,5,0,0,3,6,0,0,0,0,0,1,8,80.0,9920,164,560.0,1.0,2,3,1642.0,1,3,3,0,1063,6,177.16666666666666,2.0,1063
155000,5,4,2,1,7,0,1,4,8,0,1,0,0,0,1,8,36.0,2448,27,948.0,2.0,2,4,0.0,1,5,4,0,1626,6,271.0,2.5,1626
166000,6,4,2,0,6,0,1,4,6,0,0,1,0,0,1,8,72.0,2998,32,440.0,2.0,2,4,2118.0,1,5,4,0,1524,4,381.0,2.5,1524
135000,81,1,2,1,4,1,0,3,7,0,0,0,0,0,1,6,65.0,7804,475,576.0,2.0,2,3,2488.0,1,3,4,3,1981,7,283.0,3.0,1981
250000,28,3,1,0,7,0,1,3,8,0,0,0,0,0,1,8,80.0,16692,552,1128.0,2.0,2,4,4098.0,1,3,4,3,2784,12,232.0,4.5,2784
76000,40,1,2,0,4,0,1,3,10,0,1,0,0,0,1,8,21.0,1476,226,0.0,0.0,2,3,1056.0,1,5,3,0,1092,5,218.4,1.5,1092
155000,55,2,2,0,6,0,0,3,6,0,0,0,0,1,1,8,75.0,10170,0,400.0,2.0,2,3,0.0,1,3,4,4,1575,5,315.0,1.5,1575
158000,41,1,2,0,6,0,1,3,6,0,0,0,0,0,1,8,80.0,9364,415,897.0,1.0,2,3,1855.0,1,3,3,0,1352,7,193.14285714285714,1.5,1352
149500,6,4,2,1,7,0,1,4,6,0,1,0,0,0,1,8,24.0,2544,172,960.0,2.0,2,4,2418.0,1,5,4,0,1200,4,300.0,3.5,1200
121000,52,2,2,1,5,0,0,3,6,0,0,0,0,0,1,8,82.0,9888,160,240.0,1.0,2,3,1944.0,1,3,3,0,936,5,187.2,1.0,936
136000,54,2,2,0,6,0,0,3,6,0,0,0,0,1,1,8,68.0,7942,0,879.0,1.0,2,3,5030.0,1,3,3,0,1040,6,173.33333333333334,1.5,1040
173000,12,2,2,0,6,0,1,3,6,0,0,0,0,0,1,8,99.6,15038,252,1158.0,2.0,2,4,414.0,1,4,3,3,1636,7,233.71428571428572,2.5,1636
290000,11,4,2,1,8,0,1,4,10,0,0,0,0,0,1,8,92.0,11764,189,2013.0,3.0,2,4,3144.0,1,5,4,4,2270,9,252.22222222222223,2.5,2270
303477,0,4,2,0,8,0,1,4,10,0,0,0,0,0,1,8,75.0,9000,572,1650.0,2.0,2,4,384.0,3,5,5,4,2610,11,237.27272727272728,2.5,2610
270000,33,2,2,1,7,0,0,4,6,0,0,0,0,1,1,8,85.0,20062,496,1380.0,2.0,2,4,5460.0,4,4,3,3,1483,4,370.75,2.5,1483
122250,88,2,1,1,5,1,0,2,6,0,0,0,0,0,1,8,81.0,7308,236,225.0,1.0,0,3,1080.0,1,4,5,4,1740,6,290.0,1.0,1740
153000,54,2,2,0,5,0,0,3,2,0,0,0,0,0,1,8,70.0,8750,280,350.0,1.0,2,3,1482.0,1,4,4,0,1382,6,230.33333333333334,1.5,1382
147000,0,2,1,0,5,0,0,3,10,0,0,0,0,0,1,8,70.0,8402,30,0.0,0.0,2,4,1030.0,1,5,3,0,1120,6,186.66666666666666,1.0,1120
148500,77,3,2,1,7,0,1,3,6,0,0,0,0,0,1,8,63.0,4000,0,216.0,1.0,2,4,1476.0,1,3,3,4,1098,5,219.6,2.0,1098
130000,2,1,2,0,7,0,1,4,10,0,0,1,0,0,1,4,32.0,3363,40,380.0,2.0,2,4,0.0,1,5,4,0,1708,7,244.0,2.0,1708
372000,1,4,2,0,9,0,0,5,6,0,0,0,0,1,1,8,94.0,13615,263,2529.0,3.0,2,5,0.0,4,5,5,4,1802,7,257.42857142857144,2.5,1802
213490,1,3,2,0,7,0,0,4,10,0,0,1,0,0,1,8,43.0,3013,162,1320.0,2.0,2,4,96.0,4,5,4,4,1506,6,251.0,2.0,1506
308030,1,1,2,1,7,0,0,4,10,0,0,0,0,0,1,8,44.0,17485,0,1144.0,2.0,2,4,8076.0,4,5,4,3,1508,5,301.6,2.0,1508
300000,12,2,2,1,7,0,0,4,6,0,0,0,0,0,1,8,74.0,23730,238,2358.0,3.0,2,5,4200.0,2,5,4,0,2032,7,290.2857142857143,4.0,2032
159500,47,2,2,0,6,0,0,3,10,0,0,0,0,1,1,8,79.0,8910,192,1617.0,2.0,2,3,3275.0,2,5,3,2,1194,6,199.0,1.5,1194
137500,2,1,2,0,7,0,1,4,10,0,1,0,0,0,1,4,24.0,2522,40,380.0,2.0,2,4,0.0,1,5,4,0,1709,7,244.14285714285714,2.0,1709
232000,1,4,2,0,7,0,0,4,10,0,0,0,0,0,1,8,73.0,8688,267,1668.0,3.0,2,4,0.0,3,5,4,0,1616,7,230.85714285714286,2.0,1616
93850,78,1,1,1,6,0,0,4,5,0,0,0,0,0,1,8,60.0,6291,84,440.0,2.0,0,3,0.0,1,3,3,0,768,4,192.0,1.0,768
105000,82,1,2,1,5,0,0,3,8,0,0,0,0,0,1,5,70.0,17529,116,322.0,1.0,0,3,0.0,1,2,2,4,872,5,174.4,1.0,872
68500,81,2,0,1,4,0,0,3,6,0,0,0,0,0,1,8,60.0,6324,136,240.0,1.0,2,3,0.0,1,2,2,0,520,4,130.0,1.0,520
154300,50,2,1,0,5,0,1,3,6,1,0,0,0,0,1,8,80.0,11600,0,480.0,2.0,2,3,1329.0,1,3,3,0,2274,12,189.5,2.0,2274
129850,82,1,1,1,5,1,0,4,10,0,0,0,0,0,1,8,50.0,7288,176,0.0,0.0,0,3,0.0,1,5,3,0,1601,6,266.8333333333333,2.0,1601
114000,97,2,2,1,5,0,1,3,6,0,0,0,0,0,1,8,35.0,4571,423,480.0,2.0,2,3,672.0,1,5,3,0,1232,6,205.33333333333334,1.0,1232
153900,93,2,1,1,5,1,0,3,6,0,0,0,0,0,1,8,100.0,12665,612,720.0,3.0,2,3,0.0,2,4,3,4,1416,7,202.28571428571428,1.5,1416
130000,38,2,2,1,4,0,0,3,10,0,0,0,0,0,1,8,60.0,9000,200,576.0,2.0,2,3,1200.0,1,4,3,0,864,5,172.8,1.0,864
160500,11,2,2,0,6,0,0,3,10,0,0,1,0,1,1,8,32.0,4500,122,784.0,2.0,2,5,5184.0,1,5,3,0,1189,4,297.25,3.0,1189
310090,0,4,2,0,9,0,0,5,6,0,0,1,0,1,1,8,48.0,6373,303,1150.0,2.0,2,5,2490.0,1,5,4,4,1666,6,277.6666666666667,3.0,1666
184900,6,3,2,0,7,0,0,4,10,0,0,0,0,0,1,8,67.0,10083,41,1110.0,2.0,2,4,4998.0,1,5,4,0,1200,5,240.0,3.0,1200
132000,51,2,2,1,5,0,0,3,6,0,0,0,0,1,1,8,70.0,13300,417,252.0,1.0,2,4,1131.0,1,3,3,0,928,4,232.0,1.0,928
163000,40,3,1,0,5,0,0,3,6,0,0,0,0,0,1,8,80.0,9600,323,1004.0,2.0,2,4,3206.0,2,3,3,2,1336,6,222.66666666666666,2.5,1336
155000,6,4,2,0,7,0,1,4,6,0,0,1,0,0,1,8,30.0,3215,172,960.0,2.0,2,4,1680.0,3,5,4,0,1200,4,300.0,2.5,1200
183000,39,3,2,0,6,0,0,3,6,0,0,0,0,0,1,8,80.0,11104,216,1032.0,2.0,2,3,4968.0,3,4,3,0,1427,7,203.85714285714286,2.5,1427
